,Timestamp,Values
0,3/25/2020 0,1.53544
1,3/25/2020 1,1.559315
2,3/25/2020 2,1.463815
3,3/25/2020 3,1.48769
4,3/25/2020 4,1.48769
5,3/25/2020 5,1.511565
6,3/25/2020 6,1.511565
7,3/25/2020 7,1.463815
8,3/25/2020 8,1.511565
9,3/25/2020 9,1.463815
10,3/25/2020 10,1.43994
11,3/25/2020 11,1.511565
12,3/25/2020 12,1.511565
13,3/25/2020 13,1.53544
14,3/25/2020 14,1.53544
15,3/25/2020 15,1.53544
16,3/25/2020 16,1.53544
17,3/25/2020 17,1.48769
18,3/25/2020 18,1.463815
19,3/25/2020 19,1.43994
20,3/25/2020 20,1.511565
21,3/25/2020 21,1.43994
22,3/25/2020 22,1.48769
23,3/25/2020 23,1.416065
24,3/26/2020 0,1.416065
25,3/26/2020 1,1.43994
26,3/26/2020 2,1.43994
27,3/26/2020 3,1.416065
28,3/26/2020 4,1.43994
29,3/26/2020 5,1.48769
30,3/26/2020 6,1.43994
31,3/26/2020 7,1.463815
32,3/26/2020 8,1.43994
33,3/26/2020 9,1.463815
34,3/26/2020 10,1.43994
35,3/26/2020 11,1.559315
36,3/26/2020 12,1.43994
37,3/26/2020 13,1.48769
38,3/26/2020 14,1.43994
39,3/26/2020 15,1.43994
40,3/26/2020 16,1.48769
41,3/26/2020 17,1.48769
42,3/26/2020 18,1.43994
43,3/26/2020 19,1.463815
44,3/26/2020 20,1.511565
45,3/26/2020 21,1.463815
46,3/26/2020 22,1.48769
47,3/26/2020 23,1.463815
48,3/27/2020 0,1.463815
49,3/27/2020 1,1.416065
50,3/27/2020 2,1.511565
51,3/27/2020 3,1.48769
52,3/27/2020 4,1.511565
53,3/27/2020 5,1.463815
54,3/27/2020 6,1.511565
55,3/27/2020 7,1.463815
56,3/27/2020 8,1.463815
57,3/27/2020 9,1.463815
58,3/27/2020 10,1.511565
59,3/27/2020 11,1.48769
60,3/27/2020 12,1.463815
61,3/27/2020 13,1.463815
62,3/27/2020 14,1.53544
63,3/27/2020 15,1.511565
64,3/27/2020 16,1.463815
65,3/27/2020 17,1.559315
66,3/27/2020 18,1.463815
67,3/27/2020 19,1.48769
68,3/27/2020 20,1.463815
69,3/27/2020 21,1.53544
70,3/27/2020 22,1.511565
71,3/27/2020 23,1.511565
72,3/28/2020 0,1.463815
73,3/28/2020 1,1.43994
74,3/28/2020 2,1.511565
75,3/28/2020 3,1.511565
76,3/28/2020 4,1.511565
77,3/28/2020 5,1.48769
78,3/28/2020 6,1.43994
79,3/28/2020 7,1.48769
80,3/28/2020 8,1.511565
81,3/28/2020 9,1.511565
82,3/28/2020 10,1.559315
83,3/28/2020 11,1.559315
84,3/28/2020 12,1.511565
85,3/28/2020 13,1.58319
86,3/28/2020 14,1.58319
87,3/28/2020 15,1.559315
88,3/28/2020 16,1.511565
89,3/28/2020 17,1.53544
90,3/28/2020 18,1.511565
91,3/28/2020 19,1.559315
92,3/28/2020 20,1.48769
93,3/28/2020 21,1.48769
94,3/28/2020 22,1.53544
95,3/28/2020 23,1.511565
96,3/29/2020 0,1.511565
97,3/29/2020 1,1.53544
98,3/29/2020 2,1.511565
99,3/29/2020 3,1.48769
100,3/29/2020 4,1.463815
101,3/29/2020 5,1.48769
102,3/29/2020 6,1.511565
103,3/29/2020 7,1.559315
104,3/29/2020 8,1.463815
105,3/29/2020 9,1.43994
106,3/29/2020 10,1.53544
107,3/29/2020 11,1.463815
108,3/29/2020 12,1.559315
109,3/29/2020 13,1.559315
110,3/29/2020 14,1.58319
111,3/29/2020 15,1.559315
112,3/29/2020 16,1.48769
113,3/29/2020 17,1.53544
114,3/29/2020 18,1.559315
115,3/29/2020 19,1.463815
116,3/29/2020 20,1.53544
117,3/29/2020 21,1.463815
118,3/29/2020 22,1.511565
119,3/29/2020 23,1.48769
120,3/30/2020 0,1.511565
121,3/30/2020 1,1.43994
122,3/30/2020 2,1.463815
123,3/30/2020 3,1.43994
124,3/30/2020 4,1.43994
125,3/30/2020 5,1.48769
126,3/30/2020 6,1.463815
127,3/30/2020 7,1.48769
128,3/30/2020 8,1.416065
129,3/30/2020 9,1.48769
130,3/30/2020 10,1.43994
131,3/30/2020 11,1.48769
132,3/30/2020 12,1.463815
133,3/30/2020 13,1.511565
134,3/30/2020 14,1.559315
135,3/30/2020 15,1.463815
136,3/30/2020 16,1.53544
137,3/30/2020 17,1.511565
138,3/30/2020 18,1.511565
139,3/30/2020 19,1.511565
140,3/30/2020 20,1.368315
141,3/30/2020 21,1.48769
142,3/30/2020 22,1.48769
143,3/30/2020 23,1.511565
144,3/31/2020 0,1.463815
145,3/31/2020 1,1.43994
146,3/31/2020 2,1.43994
147,3/31/2020 3,1.416065
148,3/31/2020 4,1.48769
149,3/31/2020 5,1.39219
150,3/31/2020 6,1.463815
151,3/31/2020 7,1.463815
152,3/31/2020 8,1.43994
153,3/31/2020 9,1.463815
154,3/31/2020 10,1.463815
155,3/31/2020 11,1.43994
156,3/31/2020 12,1.53544
157,3/31/2020 13,1.53544
158,3/31/2020 14,1.43994
159,3/31/2020 15,1.511565
160,3/31/2020 16,1.463815
161,3/31/2020 17,1.53544
162,3/31/2020 18,1.48769
163,3/31/2020 19,1.53544
164,3/31/2020 20,1.463815
165,3/31/2020 21,1.48769
166,3/31/2020 22,1.463815
167,3/31/2020 23,1.511565
168,4/1/2020 0,1.463815
169,4/1/2020 1,1.416065
170,4/1/2020 2,1.48769
171,4/1/2020 3,1.48769
172,4/1/2020 4,1.463815
173,4/1/2020 5,1.416065
174,4/1/2020 6,1.416065
175,4/1/2020 7,1.416065
176,4/1/2020 8,1.43994
177,4/1/2020 9,1.48769
178,4/1/2020 10,1.463815
179,4/1/2020 11,1.511565
180,4/1/2020 12,1.511565
181,4/1/2020 13,1.48769
182,4/1/2020 14,1.53544
183,4/1/2020 15,1.48769
184,4/1/2020 16,1.463815
